### name of eos: /1D/NS/Classical/APR 
### link: https://compose.obspm.fr/eos/68 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV/fm3] 
n	mu	p	e
7.92405959867008e-15	0.931191807807985	1.8864781909828667e-22	7.37881919421599e-15
2.50580766467172e-14	0.9311918717271044	1.2028751012380429e-21	2.333387609166273e-14
7.92405959867008e-14	0.9311920006112557	7.669892586590564e-21	7.378820143659157e-14
2.50580766467172e-13	0.9311922604885162	4.89055366008406e-20	2.3333882145597427e-13
7.92405959867008e-13	0.9311927844954322	3.118363762222316e-19	7.378824003829586e-13
2.50580766467172e-12	0.931193841083659	1.9883623060735806e-18	2.3333906759202263e-12
7.92405959867008e-12	0.9311959715491966	1.2678394702087938e-17	7.378839698202621e-12
2.50580766467172e-11	0.9312002673413465	8.08412489670192e-17	2.333400683123404e-11
7.92405959867008e-11	0.9312089292182302	5.154680610685972e-16	7.378903507132896e-11
2.50580766467172e-10	0.9312263947073668	3.286779031459769e-15	2.3334413696120176e-10
6.29410234040288e-10	0.9312524670636586	1.446781958777772e-14	5.861253654255452e-10
1.5810484988654399e-09	0.9312956993010049	6.088592755770989e-14	1.472362781452136e-09
3.9714689058682395e-09	0.9313638741528725	2.4410544610784567e-13	3.698638560801005e-09
4.999380256722129e-09	0.9313826906483217	3.2824099746386106e-13	4.65600799408249e-09
9.973660358163069e-09	0.9314600844662984	8.956566483374038e-13	9.289170863004406e-09
1.99038194110668e-08	0.9315625201500616	2.3923706850712655e-12	1.8539259800500032e-08
3.97209640718649e-08	0.9316959423825236	6.278958802978592e-12	3.7001582094475555e-08
7.92418564452663e-08	0.9318676776946098	1.6252891374708007e-11	7.382667185048524e-08
1.58101406297455e-07	0.9320871434722028	4.1668319054358926e-11	1.473226198556786e-07
1.99033206564924e-07	0.9321594812054477	5.4538312147541693e-11	1.8547615226206872e-07
3.15499695463202e-07	0.9323447777544839	1.0167419373809272e-10	2.940528192545084e-07
4.99934080568851e-07	0.9325615406553982	1.890553301612541e-10	4.660302410712664e-07
6.294585892124061e-07	0.932683473618932	2.577119373508809e-10	5.868279115485483e-07
7.29727457487442e-07	0.9327668736718818	3.143224307336004e-10	6.803512767223587e-07
9.65971146546113e-07	0.9329019376157154	4.2816756847349056e-10	9.007281867252695e-07
1.53107000415745e-06	0.9331982675134449	7.939200395018661e-10	1.4279979552820332e-06
2.5056266193172294e-06	0.9335385090629552	1.4704996958069151e-09	2.3376284387700524e-06
3.97141379770464e-06	0.9339296042819177	2.722546550555927e-09	3.706298369979486e-06
4.82727428613838e-06	0.9341144276931027	3.533942817342426e-09	4.505692614296442e-06
6.07736284802167e-06	0.934348638932161	4.807210805222776e-09	5.6735684945407065e-06
7.92625465087822e-06	0.9345974946725589	6.541102212248078e-09	7.401316636635254e-06
9.97703609874371e-06	0.934861125785935	8.894151385928924e-09	9.318249047892531e-06
1.25609035335829e-05	0.9351460924534499	1.2096045884863337e-08	1.1734183811229917e-05
1.5214353983086e-05	0.9354005361649228	1.562249889051235e-08	1.421589237429106e-05
1.99041938317933e-05	0.9357224453123825	2.124609917031723e-08	1.8603554825086947e-05
2.50558859045481e-05	0.9360632810187085	2.8885707097599336e-08	2.3425009061544108e-05
3.0243726441838895e-05	0.9363620608235863	3.713074147009906e-08	2.8281947276594953e-05
3.971489631294249e-05	0.9367459658063575	5.04875723233537e-08	3.7152281331243315e-05
5.00057205192782e-05	0.937152169660679	6.865660718962678e-08	4.6794312872897484e-05
6.15115619502737e-05	0.9375448832563371	9.050189129541711e-08	5.7579348276288884e-05
6.54540322464242e-05	0.937589147873943	9.331057068044729e-08	6.1275679748158e-05
8.485433908990791e-05	0.938037996190061	1.2688989310591933e-07	7.946970431482327e-05
0.000101951949234728	0.9384155837232715	1.6209200806496435e-07	9.551120594476766e-05
0.000110516834614163	0.9385889654614744	1.805044618112733e-07	0.00010354937700477287
0.000125584418787288	0.9387996777432509	2.0534567059442918e-07	0.00011769326621648501
0.000163471959083754	0.9393130271696147	2.791827308720005e-07	0.00015327215801343638
0.000199040377780961	0.9397764792392964	3.630062067407903e-07	0.00018669045925071023
0.000250584885047483	0.9402564045249753	4.7048500454127873e-07	0.00023514355803850933
0.000257211369324703	0.940322042904283	4.871498355591245e-07	0.00024137437042605364
0.000259308963120565	0.940342585378324	4.924551188419593e-07	0.0002433468056737226
0.000270613214320415	0.9404514266078748	5.212908938616025e-07	0.0002539772925727153
0.000288542839998925	0.9406180073065061	5.678525565556586e-07	0.0002708407386257932
0.000297839506320659	0.9407016745704945	5.923816898515888e-07	0.0002795857406592417
0.000305804963744281	0.9407719873299402	6.136028229829281e-07	0.0002870791406540846
0.000341765071242143	0.940964785682797	6.759555053305981e-07	0.0003209129415098983
0.0012616	0.9419796308310524	1.3448581046498984e-06	0.001187056644151806
0.0018947	0.942488827482016	2.13909021963899e-06	0.0017835944912105368
0.0026726	0.9429956197299227	3.2879649183112267e-06	0.00251696212837188
0.0036062	0.9435011442024966	4.866879638380307e-06	0.0033975869465846633
0.0047097	0.9440058921624191	6.957410912206997e-06	0.004439027139405138
0.0074963	0.9450142258863108	1.304101046018238e-05	0.0070710691310513695
0.011197	0.9460210628962695	2.2370195075303754e-05	0.010570227646174227
0.015999	0.9470273756378269	3.595796178910535e-05	0.015115533021040488
0.022073	0.948033443702754	5.499831141571221e-05	0.020870943891435175
