# mass [M_sol]  radius [km] love_number
m r l
6.075988450000000540e-01 1.794144070000000056e+03 3.019494090000000000e+14
6.160544430000000071e-01 2.129481530000000021e+03 8.005868230000000000e+14
6.163489640000000547e-01 2.232028479999999945e+03 1.061744850000000000e+15
5.722918350000000265e-01 3.143651370000000043e+03 1.167809570000000000e+16
4.767941090000000215e-01 3.918139099999999871e+03 9.903448930000000000e+16
2.136013109999999882e-01 4.322061099999999897e+03 4.616579490000000000e+18
9.930101380000000422e-02 5.437381649999999809e+02 3.063725520000000000e+14
9.700077199999999900e-02 2.059093039999999917e+02 1.029342980000000000e+12
9.812423239999999713e-02 1.210237460000000027e+02 4.975343200000000000e+10
1.003617740000000008e-01 8.409709719999999322e+01 6.671251740000000000e+09
1.032434109999999933e-01 6.402916530000000250e+01 1.593000500000000000e+09
1.066272439999999960e-01 5.156220989999999915e+01 5.584506560000000000e+08
1.104575720000000039e-01 4.315302899999999653e+01 2.578437720000000000e+08
1.146923680000000029e-01 3.715148930000000149e+01 1.444468790000000000e+08
1.193049570000000031e-01 3.269414319999999918e+01 9.172753550000000000e+07
1.243070440000000054e-01 2.926805369999999940e+01 6.294921379999999702e+07
1.296673160000000047e-01 2.656979169999999968e+01 4.530876489999999851e+07
1.353885629999999896e-01 2.441024170000000026e+01 3.359121939999999851e+07
1.414792870000000091e-01 2.264677470000000170e+01 2.541435739999999851e+07
1.479133440000000022e-01 2.118198759999999936e+01 1.946967600000000000e+07
1.547238890000000033e-01 1.995800150000000173e+01 1.507753119999999925e+07
1.618753169999999908e-01 1.892481839999999949e+01 1.176323940000000037e+07
1.693842050000000099e-01 1.804346930000000171e+01 9.238675509999999776e+06
1.772445930000000058e-01 1.729175770000000156e+01 7.306824740000000224e+06
1.854335850000000119e-01 1.663164009999999848e+01 5.791689110000000335e+06
1.939746980000000010e-01 1.606646059999999920e+01 4.624477410000000149e+06
2.028461950000000069e-01 1.556753920000000058e+01 3.702264740000000224e+06
2.120511800000000058e-01 1.513254189999999966e+01 2.978606529999999795e+06
2.215843239999999992e-01 1.475044109999999975e+01 2.406248609999999870e+06
2.314512029999999942e-01 1.440800109999999989e+01 1.950839179999999935e+06
2.416252160000000038e-01 1.410642550000000028e+01 1.587221850000000093e+06
2.521130549999999748e-01 1.383902340000000031e+01 1.296997219999999972e+06
2.629203949999999734e-01 1.359908000000000072e+01 1.063063979999999981e+06
2.740154779999999790e-01 1.338353170000000070e+01 8.745103959999999497e+05
2.854055280000000194e-01 1.319190539999999956e+01 7.220325709999999963e+05
2.970932310000000132e-01 1.301936219999999977e+01 5.981554179999999469e+05
3.090484159999999925e-01 1.286404899999999962e+01 4.971973200000000070e+05
3.335365719999999756e-01 1.259991229999999973e+01 3.480069629999999888e+05
3.592312100000000230e-01 1.238194990000000040e+01 2.459634359999999870e+05
3.861729950000000189e-01 1.220079349999999963e+01 1.753166250000000000e+05
4.143208629999999837e-01 1.205117650000000040e+01 1.260331849999999977e+05
4.438767089999999804e-01 1.192583740000000070e+01 9.113312820000000647e+04
4.745914969999999733e-01 1.182194800000000079e+01 6.641863499999999476e+04
5.066711560000000114e-01 1.173503750000000068e+01 4.869099489999999787e+04
5.397691449999999502e-01 1.166426389999999991e+01 3.599586200000000099e+04
5.738970119999999842e-01 1.160581239999999958e+01 2.680841849999999977e+04
6.092865370000000169e-01 1.155790529999999983e+01 2.007274529999999868e+04
6.454772939999999792e-01 1.151879980000000003e+01 1.515109920000000056e+04
6.827347520000000003e-01 1.148769569999999973e+01 1.150332910000000084e+04
7.207780150000000496e-01 1.146298960000000022e+01 8.794015339999999924e+03
7.594332470000000335e-01 1.144301609999999947e+01 6.770602460000000065e+03
7.986071000000000142e-01 1.142765920000000079e+01 5.251664639999999963e+03
8.383637619999999568e-01 1.141553689999999932e+01 4.098293719999999666e+03
8.785510989999999465e-01 1.140648979999999924e+01 3.218382520000000113e+03
9.188884710000000400e-01 1.139916189999999929e+01 2.546248419999999896e+03
9.592444390000000043e-01 1.139379339999999985e+01 2.028706030000000055e+03
9.998015700000000283e-01 1.138937699999999964e+01 1.625354329999999891e+03
1.040210110000000077e+00 1.138566589999999934e+01 1.311008910000000014e+03
1.080568219999999968e+00 1.138253540000000008e+01 1.063038559999999961e+03
1.120535150000000035e+00 1.137904160000000076e+01 8.684803359999999657e+02
1.160234629999999934e+00 1.137581570000000042e+01 7.132330329999999776e+02
1.199459000000000053e+00 1.137211439999999918e+01 5.892798669999999674e+02
1.238172110000000048e+00 1.136779089999999925e+01 4.892264809999999784e+02
1.276347450000000050e+00 1.136316090000000045e+01 4.090040500000000065e+02
1.313821300000000081e+00 1.135736250000000069e+01 3.434532199999999875e+02
1.350675309999999962e+00 1.135086360000000028e+01 2.898475520000000074e+02
1.422070179999999961e+00 1.133552259999999912e+01 2.096529010000000142e+02
1.490129569999999903e+00 1.131609000000000087e+01 1.545639610000000062e+02
1.554845610000000100e+00 1.129274159999999938e+01 1.159010140000000035e+02
1.615703330000000104e+00 1.126520140000000048e+01 8.841354920000000561e+01
1.672901170000000048e+00 1.123378869999999985e+01 6.848284950000000038e+01
1.726350880000000032e+00 1.119886930000000014e+01 5.381640829999999909e+01
1.775739090000000076e+00 1.116077630000000021e+01 4.293138549999999753e+01
1.821766269999999910e+00 1.111951990000000023e+01 3.463113140000000101e+01
1.864009330000000020e+00 1.107544380000000039e+01 2.829407009999999900e+01
